料号	品牌	型号	官网地址	三维模型搜索	图像搜索
UC3000000002	台億	CT680-004G/5R5P-4		https://www.bing.com/search?q=%E5%8F%B0%E5%84%84%20CT680-004G/5R5P-4%203D%20model	https://www.bing.com/images/search?q=%E5%8F%B0%E5%84%84%20CT680-004G/5R5P-4
UC3000000003	貝士德	FC300-1.5G-S2-B3		https://www.bing.com/search?q=%E8%B2%9D%E5%A3%AB%E5%BE%B7%20FC300-1.5G-S2-B3%203D%20model	https://www.bing.com/images/search?q=%E8%B2%9D%E5%A3%AB%E5%BE%B7%20FC300-1.5G-S2-B3
UC3000000004	士林	SL3-043-0.75K		https://www.bing.com/search?q=%E5%A3%AB%E6%9E%97%20SL3-043-0.75K%203D%20model	https://www.bing.com/images/search?q=%E5%A3%AB%E6%9E%97%20SL3-043-0.75K
UC3000000005	威斯康	WD900-4T0022G		https://www.bing.com/search?q=%E5%A8%81%E6%96%AF%E5%BA%B7%20WD900-4T0022G%203D%20model	https://www.bing.com/images/search?q=%E5%A8%81%E6%96%AF%E5%BA%B7%20WD900-4T0022G
UC3000000006	威斯康	WD900		https://www.bing.com/search?q=%E5%A8%81%E6%96%AF%E5%BA%B7%20WD900%203D%20model	https://www.bing.com/images/search?q=%E5%A8%81%E6%96%AF%E5%BA%B7%20WD900
UC3000000007	台達	VFD9AOMS43ANSAA		https://www.bing.com/search?q=%E5%8F%B0%E9%81%94%20VFD9AOMS43ANSAA%203D%20model	https://www.bing.com/images/search?q=%E5%8F%B0%E9%81%94%20VFD9AOMS43ANSAA
UC3000010001	東力	US52-40W		https://www.bing.com/search?q=%E6%9D%B1%E5%8A%9B%20US52-40W%203D%20model	https://www.bing.com/images/search?q=%E6%9D%B1%E5%8A%9B%20US52-40W
UC3000010002	東力	US52-60W		https://www.bing.com/search?q=%E6%9D%B1%E5%8A%9B%20US52-60W%203D%20model	https://www.bing.com/images/search?q=%E6%9D%B1%E5%8A%9B%20US52-60W
UC3000010003	精研	SF25E		https://www.bing.com/search?q=%E7%B2%BE%E7%A0%94%20SF25E%203D%20model	https://www.bing.com/images/search?q=%E7%B2%BE%E7%A0%94%20SF25E
UC3000020002				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000020004				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000020005				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000020006	松下	AFP0H-C32ET		https://www.bing.com/search?q=%E6%9D%BE%E4%B8%8B%20AFP0H-C32ET%203D%20model	https://www.bing.com/images/search?q=%E6%9D%BE%E4%B8%8B%20AFP0H-C32ET
UC3000020007	三菱	Q02CPU		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20Q02CPU%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20Q02CPU
UC3000020011	三菱	FX5U-64MT/ES		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20FX5U-64MT/ES%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20FX5U-64MT/ES
UC3000020012	三菱	FX3U-48MT/ES-A		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20FX3U-48MT/ES-A%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20FX3U-48MT/ES-A
UC3000020013	三菱	Q02UCPU		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20Q02UCPU%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20Q02UCPU
UC3000030011				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000030012				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000030013				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000030014				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000030015				https://www.bing.com/search?q=%203D%20model	https://www.bing.com/images/search?q=
UC3000030017	松下	AFPX-IN4T3		https://www.bing.com/search?q=%E6%9D%BE%E4%B8%8B%20AFPX-IN4T3%203D%20model	https://www.bing.com/images/search?q=%E6%9D%BE%E4%B8%8B%20AFPX-IN4T3
UC3000030018	三菱	QG60		https://www.bing.com/search?q=%E4%B8%89%E8%8F%B1%20QG60%203D%20model	https://www.bing.com/images/search?q=%E4%B8%89%E8%8F%B1%20QG60
